Alloy,Processing condition,Testing condition,Property,Value,Unit
Co1.5CrFeNi1.5Ti0.5Mo0.1,-,deaerated 0.5M H2SO4,Corrosion Potential,-71,mVSHE
Co1.5CrFeNi1.5Ti0.5Mo0.1,-,deaerated 0.5M H2SO4,Corrosion Current Density,78,mA/cm2
Co1.5CrFeNi1.5Ti0.5Mo0.1,-,deaerated 0.5M H2SO4,Breakdown Potential,1089,mVSHE
Co1.5CrFeNi1.5Ti0.5Mo0.5,-,deaerated 0.5M H2SO4,Corrosion Potential,-64,mVSHE
Co1.5CrFeNi1.5Ti0.5Mo0.5,-,deaerated 0.5M H2SO4,Corrosion Current Density,72,mA/cm2
Co1.5CrFeNi1.5Ti0.5Mo0.5,-,deaerated 0.5M H2SO4,Breakdown Potential,1089,mVSHE
Co1.5CrFeNi1.5Ti0.5Mo0.8,-,deaerated 0.5M H2SO4,Corrosion Potential,-70,mVSHE
Co1.5CrFeNi1.5Ti0.5Mo0.8,-,deaerated 0.5M H2SO4,Corrosion Current Density,69,mA/cm2
Co1.5CrFeNi1.5Ti0.5Mo0.8,-,deaerated 0.5M H2SO4,Breakdown Potential,1089,mVSHE
Co1.5CrFeNi1.5Ti0.5Mo0,-,deaerated 1M NaOH; Reference Electrode: SHE,Corrosion Potential,-546,mV
Co1.5CrFeNi1.5Ti0.5Mo0,-,deaerated 1M NaOH,Corrosion Current Density,0.09,mA/cm²
Co1.5CrFeNi1.5Ti0.5Mo0,-,deaerated 1M NaOH; Reference Electrode: SHE,Breakdown Potential,653,mV
Co1.5CrFeNi1.5Ti0.5Mo0.1,-,deaerated 1M NaOH; Reference Electrode: SHE,Corrosion Potential,-379,mV
Co1.5CrFeNi1.5Ti0.5Mo0.1,-,deaerated 1M NaOH,Corrosion Current Density,0.11,mA/cm²
Co1.5CrFeNi1.5Ti0.5Mo0.1,-,deaerated 1M NaOH; Reference Electrode: SHE,Breakdown Potential,653,mV
Co1.5CrFeNi1.5Ti0.5Mo0.5,-,deaerated 1M NaOH; Reference Electrode: SHE,Corrosion Potential,-657,mV
Co1.5CrFeNi1.5Ti0.5Mo0.5,-,deaerated 1M NaOH,Corrosion Current Density,0.16,mA/cm²
Co1.5CrFeNi1.5Ti0.5Mo0.5,-,deaerated 1M NaOH; Reference Electrode: SHE,Breakdown Potential,653,mV
Co1.5CrFeNi1.5Ti0.5Mo0.8,-,deaerated 1M NaOH; Reference Electrode: SHE,Corrosion Potential,-589,mV
Co1.5CrFeNi1.5Ti0.5Mo0.8,-,deaerated 1M NaOH,Corrosion Current Density,0.25,mA/cm²
Co1.5CrFeNi1.5Ti0.5Mo0.8,-,deaerated 1M NaOH; Reference Electrode: SHE,Breakdown Potential,660,mV
Co1.5CrFeNi1.5Ti0.5Mo0,-,deaerated 1M NaCl,Corrosion Potential,-443,mVSHE
Co1.5CrFeNi1.5Ti0.5Mo0,-,deaerated 1M NaCl,Corrosion Current Density,0.57,mA/cm2
Co1.5CrFeNi1.5Ti0.5Mo0,-,deaerated 1M NaCl,Pitting Potential,-219,mVSHE
Co1.5CrFeNi1.5Ti0.5Mo0,-,deaerated 1M NaCl,Breakdown Potential,338,mVSHE
Co1.5CrFeNi1.5Ti0.5Mo0,-,deaerated 1M NaCl,Repassivation Potential,32.5,mVSHE
Co1.5CrFeNi1.5Ti0.5Mo0.1,-,deaerated 1M NaCl,Corrosion Potential,-381,mVSHE
Co1.5CrFeNi1.5Ti0.5Mo0.1,-,deaerated 1M NaCl,Corrosion Current Density,0.13,mA/cm2
Co1.5CrFeNi1.5Ti0.5Mo0.1,-,deaerated 1M NaCl,Pitting Potential,-215,mVSHE
Co1.5CrFeNi1.5Ti0.5Mo0.1,-,deaerated 1M NaCl,Breakdown Potential,1214,mVSHE
Co1.5CrFeNi1.5Ti0.5Mo0.1,-,deaerated 1M NaCl,Repassivation Potential,761.0,mVSHE
Co1.5CrFeNi1.5Ti0.5Mo0.5,-,deaerated 1M NaCl,Corrosion Potential,-493,mVSHE
Co1.5CrFeNi1.5Ti0.5Mo0.5,-,deaerated 1M NaCl,Corrosion Current Density,0.2,mA/cm2
Co1.5CrFeNi1.5Ti0.5Mo0.5,-,deaerated 1M NaCl,Pitting Potential,-219,mVSHE
Co1.5CrFeNi1.5Ti0.5Mo0.5,-,deaerated 1M NaCl,Breakdown Potential,1164,mVSHE
Co1.5CrFeNi1.5Ti0.5Mo0.5,-,deaerated 1M NaCl,Repassivation Potential,755.0,mVSHE
Co1.5CrFeNi1.5Ti0.5Mo0.8,-,deaerated 1M NaCl,Corrosion Potential,-551,mVSHE
Co1.5CrFeNi1.5Ti0.5Mo0.8,-,deaerated 1M NaCl,Corrosion Current Density,0.41,mA/cm2
Co1.5CrFeNi1.5Ti0.5Mo0.8,-,deaerated 1M NaCl,Pitting Potential,-189,mVSHE
Co1.5CrFeNi1.5Ti0.5Mo0.8,-,deaerated 1M NaCl,Breakdown Potential,1182,mVSHE
Co1.5CrFeNi1.5Ti0.5Mo0.8,-,deaerated 1M NaCl,Repassivation Potential,476.0,mVSHE
Ti0.5,-,-,Mixing Enthalpy,-11.28,kJ/mol
Ti1,-,-,Mixing Enthalpy,-30.59,kJ/mol
Ti1.5,-,-,Mixing Enthalpy,-38.86,kJ/mol
Ti2,-,-,Mixing Enthalpy,-40.51,kJ/mol
Ti2.5,-,-,Mixing Enthalpy,-27.88,kJ/mol
V0.4,-,-,Mixing Enthalpy,-33.15,kJ/mol
V0.7,-,-,Mixing Enthalpy,-33.31,kJ/mol
V1.0,-,-,Mixing Enthalpy,-30.75,kJ/mol
V1.3,-,-,Mixing Enthalpy,-32.61,kJ/mol
V1.6,-,-,Mixing Enthalpy,-31.87,kJ/mol
V2.0,-,-,Mixing Enthalpy,-31.47,kJ/mol
V2.3,-,-,Mixing Enthalpy,-31.63,kJ/mol
V2.6,-,-,Mixing Enthalpy,-32.44,kJ/mol
V3.0,-,-,Mixing Enthalpy,-31.4,kJ/mol
Zr0.4,-,-,Mixing Enthalpy,-0.48,kJ/mol
Zr0.7,-,-,Mixing Enthalpy,-9.29,kJ/mol
Zr1.0,-,-,Mixing Enthalpy,-30.75,kJ/mol
Zr1.3,-,-,Mixing Enthalpy,-38.07,kJ/mol
Zr1.6,-,-,Mixing Enthalpy,-44.19,kJ/mol
Zr2.0,-,-,Mixing Enthalpy,-49.12,kJ/mol
Zr2.3,-,-,Mixing Enthalpy,-53.96,kJ/mol
Zr2.6,-,-,Mixing Enthalpy,-54.99,kJ/mol
Zr3.0,-,-,Mixing Enthalpy,-52.71,kJ/mol
Ti0.5,-,-,Hydrogen Absorption Capacity,0.17,H/atom
Ti1,-,-,Hydrogen Absorption Capacity,0.65,H/atom
Ti1.5,-,-,Hydrogen Absorption Capacity,0.83,H/atom
Ti2,-,-,Hydrogen Absorption Capacity,0.87,H/atom
Ti2.5,-,-,Hydrogen Absorption Capacity,0.75,H/atom
V0.4,-,-,Hydrogen Absorption Capacity,0.9,H/atom
V0.7,-,-,Hydrogen Absorption Capacity,0.92,H/atom
V1.0,-,-,Hydrogen Absorption Capacity,0.86,H/atom
V1.3,-,-,Hydrogen Absorption Capacity,0.92,H/atom
V1.6,-,-,Hydrogen Absorption Capacity,0.9,H/atom
V2.0,-,-,Hydrogen Absorption Capacity,0.91,H/atom
V2.3,-,-,Hydrogen Absorption Capacity,0.92,H/atom
V2.6,-,-,Hydrogen Absorption Capacity,0.95,H/atom
V3.0,-,-,Hydrogen Absorption Capacity,0.93,H/atom
Zr0.4,-,-,Hydrogen Absorption Capacity,0.02,H/atom
Zr0.7,-,-,Hydrogen Absorption Capacity,0.29,H/atom
Zr1.0,-,-,Hydrogen Absorption Capacity,0.86,H/atom
Zr1.3,-,-,Hydrogen Absorption Capacity,0.99,H/atom
Zr1.6,-,-,Hydrogen Absorption Capacity,1.06,H/atom
Zr2.0,-,-,Hydrogen Absorption Capacity,1.11,H/atom
Zr2.3,-,-,Hydrogen Absorption Capacity,1.17,H/atom
Zr2.6,-,-,Hydrogen Absorption Capacity,1.15,H/atom
Zr3.0,-,-,Hydrogen Absorption Capacity,1.06,H/atom
Mg2Ni,-,Temperature(in degC): 200,Hydrogen Absorption Capacity,2.69,wt%
Mg2Ni,-,Temperature(in degC): 200,Hydrogen Absorption Capacity,2.23,wt%
Mg2Ni,-,Temperature(in degC): 200,Hydrogen Absorption Capacity,2.1,wt%
Mg2Ni,-,Temperature(in degC): 200,Hydrogen Absorption Capacity,2.07,wt%
Mg2Ni,-,Temperature(in degC): 227,Hydrogen Absorption Capacity,3.5,wt%
Mg2Ni,-,Temperature(in degC): 250,Hydrogen Absorption Capacity,3.0,wt%
Mg2Ni,-,Temperature(in degC): 248,Hydrogen Absorption Capacity,3.11,wt%
Mg2Ni,-,Temperature(in degC): 279,Hydrogen Absorption Capacity,3.21,wt%
Mg2Ni,-,Temperature(in degC): 253,Hydrogen Absorption Capacity,2.91,wt%
Mg2Ni,-,Temperature(in degC): 253,Hydrogen Absorption Capacity,3.6,wt%
Mg2Ni,-,Temperature(in degC): 239,Hydrogen Absorption Capacity,2.7,wt%
Mg2Ni,-,Temperature(in degC): 300,Hydrogen Absorption Capacity,3.3,wt%
Mg2Ni,-,Temperature(in degC): 300,Hydrogen Absorption Capacity,3.5,wt%
Mg2Ni,-,Temperature(in degC): 300,Hydrogen Absorption Capacity,3.83,wt%
Mg2Ni,-,Temperature(in degC): 300,Hydrogen Absorption Capacity,3.64,wt%
Mg2Ni,-,Temperature(in degC): 300,Hydrogen Absorption Capacity,3.6,wt%
LaNi5,-,Temperature(in degC): 20,Hydrogen Absorption Capacity,1.39,wt%
LaNi5,-,Temperature(in degC): 20,Hydrogen Absorption Capacity,1.55,wt%
LaNi5,-,Temperature(in degC): 20,Hydrogen Absorption Capacity,1.2,wt%
LaNi5,-,Temperature(in degC): 20,Hydrogen Absorption Capacity,1.15,wt%
LaNi5,-,Temperature(in degC): 20,Hydrogen Absorption Capacity,1.6,wt%
LaNi5,-,Temperature(in degC): 20,Hydrogen Absorption Capacity,1.58,wt%
LaNi5,-,Temperature(in degC): 20,Hydrogen Absorption Capacity,1.47,wt%
LaNi5,-,Temperature(in degC): 20,Hydrogen Absorption Capacity,1.47,wt%
LaNi5,-,Temperature(in degC): 20,Hydrogen Absorption Capacity,1.53,wt%
LaNi5,-,Temperature(in degC): 20,Hydrogen Absorption Capacity,0.91,wt%
LaNi5,-,Temperature(in degC): 20,Hydrogen Absorption Capacity,1.45,wt%
LaNi5,-,Temperature(in degC): 30,Hydrogen Absorption Capacity,1.15,wt%
LaNi5,-,Temperature(in degC): 30,Hydrogen Absorption Capacity,0.83,wt%
LaNi5,-,Temperature(in degC): 30,Hydrogen Absorption Capacity,1.2,wt%
LaNi5,-,Temperature(in degC): 30,Hydrogen Absorption Capacity,1.2,wt%
LaNi5,-,Temperature(in degC): 30,Hydrogen Absorption Capacity,1.3,wt%
LaNi5,-,Temperature(in degC): 30,Hydrogen Absorption Capacity,1.3,wt%
LaNi5,-,Temperature(in degC): 30,Hydrogen Absorption Capacity,1.1,wt%
LaNi5,-,Temperature(in degC): 30,Hydrogen Absorption Capacity,1.27,wt%
LaNi5,-,Temperature(in degC): 30,Hydrogen Absorption Capacity,1.18,wt%
LaNi5,-,Temperature(in degC): 30,Hydrogen Absorption Capacity,1.17,wt%
LaNi5,-,Temperature(in degC): 30,Hydrogen Absorption Capacity,1.4,wt%
LaNi5,-,Temperature(in degC): 30,Hydrogen Absorption Capacity,1.31,wt%
LaNi5,-,Temperature(in degC): 30,Hydrogen Absorption Capacity,1.16,wt%
FeTi,-,Temperature(in degC): 80,Hydrogen Absorption Capacity,1.83,wt%
FeTi,-,Temperature(in degC): 80,Hydrogen Absorption Capacity,1.83,wt%
FeTi,-,Temperature(in degC): 80,Hydrogen Absorption Capacity,1.88,wt%
FeTi,-,Temperature(in degC): 80,Hydrogen Absorption Capacity,1.29,wt%
FeTi,-,Temperature(in degC): 80,Hydrogen Absorption Capacity,2.04,wt%
FeTi,-,Temperature(in degC): 80,Hydrogen Absorption Capacity,1.89,wt%
FeTi,-,Temperature(in degC): 80,Hydrogen Absorption Capacity,1.88,wt%
FeTi,-,Temperature(in degC): 80,Hydrogen Absorption Capacity,1.78,wt%
TiCo,-,Temperature(in degC): 120,Hydrogen Absorption Capacity,1.4,wt%
TiCo,-,Temperature(in degC): 120,Hydrogen Absorption Capacity,1.3,wt%
TiCo,-,Temperature(in degC): 120,Hydrogen Absorption Capacity,1.3,wt%
TiCo,-,Temperature(in degC): 120,Hydrogen Absorption Capacity,1.4,wt%
TiCo,-,Temperature(in degC): 120,Hydrogen Absorption Capacity,1.2,wt%
TiCo,-,Temperature(in degC): 120,Hydrogen Absorption Capacity,1.3,wt%
TiCo,-,Temperature(in degC): 120,Hydrogen Absorption Capacity,1.3,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,2.74,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,2.28,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,2.17,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.62,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.6,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.44,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,0.79,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,0.06,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.95,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.72,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.71,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.48,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.42,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.29,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,0.11,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.79,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.64,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.59,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.44,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,0.99,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,0.22,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,0.01,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,0.01,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,2.74,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,2.26,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,2.13,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.54,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.37,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,0.2,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,0.14,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.95,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.64,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.58,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,0.79,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,0.16,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,0.14,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,0.14,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.79,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.67,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.53,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.51,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.07,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.06,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,0.34,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,0.41,wt%
ZrB2,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,0.25,wt%
Zrx,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,0.03,wt%
Zrx,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,0.49,wt%
Zrx,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.43,wt%
Zrx,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.63,wt%
Zrx,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.71,wt%
Zrx,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.73,wt%
Zrx,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.79,wt%
Zrx,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.73,wt%
Zrx,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.56,wt%
Vx,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.48,wt%
Vx,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.52,wt%
Vx,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.43,wt%
Vx,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.55,wt%
Vx,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.54,wt%
Vx,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.55,wt%
Vx,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.58,wt%
Vx,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.64,wt%
Vx,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,1.62,wt%
Tix,-,nan,Hydrogen Absorption Capacity,0.6,wt%
Tix,-,nan,Hydrogen Absorption Capacity,1.43,wt%
Tix,-,nan,Hydrogen Absorption Capacity,1.78,wt%
Tix,-,nan,Hydrogen Absorption Capacity,1.8,wt%
Tix,-,nan,Hydrogen Absorption Capacity,1.2,wt%
BCC,-,Temperature(in degC): 30,Hydrogen Absorption Capacity,3.14,wt%
BCC,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,2.2,wt%
BCC,-,Temperature(in degC): 25,Hydrogen Absorption Capacity,3.6,wt%
Mg2Ni,-,Temperature(in degC): 200,Hydride Formation Enthalpy,-26.74,kJ/mol
Mg2Ni,-,Temperature(in degC): 200,Hydride Formation Enthalpy,-21.87,kJ/mol
Mg2Ni,-,Temperature(in degC): 200,Hydride Formation Enthalpy,-21.32,kJ/mol
Mg2Ni,-,Temperature(in degC): 200,Hydride Formation Enthalpy,-23.09,kJ/mol
Mg2Ni,-,Temperature(in degC): 227,Hydride Formation Enthalpy,-34.79,kJ/mol
Mg2Ni,-,Temperature(in degC): 250,Hydride Formation Enthalpy,-31.97,kJ/mol
Mg2Ni,-,Temperature(in degC): 248,Hydride Formation Enthalpy,-30.99,kJ/mol
Mg2Ni,-,Temperature(in degC): 279,Hydride Formation Enthalpy,-32.69,kJ/mol
Mg2Ni,-,Temperature(in degC): 253,Hydride Formation Enthalpy,-28.94,kJ/mol
Mg2Ni,-,Temperature(in degC): 253,Hydride Formation Enthalpy,-37.9,kJ/mol
Mg2Ni,-,Temperature(in degC): 239,Hydride Formation Enthalpy,-25.25,kJ/mol
Mg2Ni,-,Temperature(in degC): 300,Hydride Formation Enthalpy,-35.51,kJ/mol
Mg2Ni,-,Temperature(in degC): 300,Hydride Formation Enthalpy,-37.21,kJ/mol
Mg2Ni,-,Temperature(in degC): 300,Hydride Formation Enthalpy,-38.09,kJ/mol
Mg2Ni,-,Temperature(in degC): 300,Hydride Formation Enthalpy,-35.68,kJ/mol
Mg2Ni,-,Temperature(in degC): 300,Hydride Formation Enthalpy,-37.9,kJ/mol
LaNi5,-,Temperature(in degC): 20,Hydride Formation Enthalpy,-23.89,kJ/mol
LaNi5,-,Temperature(in degC): 20,Hydride Formation Enthalpy,-26.67,kJ/mol
LaNi5,-,Temperature(in degC): 20,Hydride Formation Enthalpy,-17.85,kJ/mol
LaNi5,-,Temperature(in degC): 20,Hydride Formation Enthalpy,-17.49,kJ/mol
LaNi5,-,Temperature(in degC): 20,Hydride Formation Enthalpy,-27.86,kJ/mol
LaNi5,-,Temperature(in degC): 20,Hydride Formation Enthalpy,-26.96,kJ/mol
LaNi5,-,Temperature(in degC): 20,Hydride Formation Enthalpy,-24.96,kJ/mol
LaNi5,-,Temperature(in degC): 20,Hydride Formation Enthalpy,-24.03,kJ/mol
LaNi5,-,Temperature(in degC): 20,Hydride Formation Enthalpy,-27.26,kJ/mol
LaNi5,-,Temperature(in degC): 20,Hydride Formation Enthalpy,-11.48,kJ/mol
LaNi5,-,Temperature(in degC): 20,Hydride Formation Enthalpy,-24.77,kJ/mol
LaNi5,-,Temperature(in degC): 30,Hydride Formation Enthalpy,-17.58,kJ/mol
LaNi5,-,Temperature(in degC): 30,Hydride Formation Enthalpy,-11.26,kJ/mol
LaNi5,-,Temperature(in degC): 30,Hydride Formation Enthalpy,-19.03,kJ/mol
LaNi5,-,Temperature(in degC): 30,Hydride Formation Enthalpy,-19.28,kJ/mol
LaNi5,-,Temperature(in degC): 30,Hydride Formation Enthalpy,-20.0,kJ/mol
LaNi5,-,Temperature(in degC): 30,Hydride Formation Enthalpy,-21.33,kJ/mol
LaNi5,-,Temperature(in degC): 30,Hydride Formation Enthalpy,-15.25,kJ/mol
LaNi5,-,Temperature(in degC): 30,Hydride Formation Enthalpy,-20.06,kJ/mol
LaNi5,-,Temperature(in degC): 30,Hydride Formation Enthalpy,-20.05,kJ/mol
LaNi5,-,Temperature(in degC): 30,Hydride Formation Enthalpy,-18.22,kJ/mol
LaNi5,-,Temperature(in degC): 30,Hydride Formation Enthalpy,-24.6,kJ/mol
LaNi5,-,Temperature(in degC): 30,Hydride Formation Enthalpy,-24.34,kJ/mol
LaNi5,-,Temperature(in degC): 30,Hydride Formation Enthalpy,-22.24,kJ/mol
LaNi5,-,Temperature(in degC): 30,Hydride Formation Enthalpy,-21.31,kJ/mol
LaNi5,-,Temperature(in degC): 30,Hydride Formation Enthalpy,-19.69,kJ/mol
FeTi,-,Temperature(in degC): 80,Hydride Formation Enthalpy,-34.42,kJ/mol
FeTi,-,Temperature(in degC): 80,Hydride Formation Enthalpy,-35.74,kJ/mol
FeTi,-,Temperature(in degC): 80,Hydride Formation Enthalpy,-36.68,kJ/mol
FeTi,-,Temperature(in degC): 80,Hydride Formation Enthalpy,-23.88,kJ/mol
FeTi,-,Temperature(in degC): 80,Hydride Formation Enthalpy,-41.22,kJ/mol
FeTi,-,Temperature(in degC): 80,Hydride Formation Enthalpy,-38.45,kJ/mol
FeTi,-,Temperature(in degC): 80,Hydride Formation Enthalpy,-35.95,kJ/mol
FeTi,-,Temperature(in degC): 80,Hydride Formation Enthalpy,-34.68,kJ/mol
TiCo,-,Temperature(in degC): 120,Hydride Formation Enthalpy,-27.17,kJ/mol
TiCo,-,Temperature(in degC): 120,Hydride Formation Enthalpy,-27.48,kJ/mol
TiCo,-,Temperature(in degC): 120,Hydride Formation Enthalpy,-27.35,kJ/mol
TiCo,-,Temperature(in degC): 120,Hydride Formation Enthalpy,-32.19,kJ/mol
TiCo,-,Temperature(in degC): 120,Hydride Formation Enthalpy,-22.82,kJ/mol
TiCo,-,Temperature(in degC): 120,Hydride Formation Enthalpy,-24.58,kJ/mol
TiCo,-,Temperature(in degC): 120,Hydride Formation Enthalpy,-26.28,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-82.46,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-66.95,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-54.36,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-43.69,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-39.62,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-35.07,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-18.36,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-1.3,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-41.47,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-37.04,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-36.95,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-32.03,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-30.89,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-28.16,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-2.38,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-53.91,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-46.67,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-42.04,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-37.38,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-24.38,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-5.33,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-2.33,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-2.24,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-82.46,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-66.64,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-61.71,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-56.71,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-34.68,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-25.4,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-4.71,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-3.24,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-41.47,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-35.4,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-34.79,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-17.34,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-3.25,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-3.24,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-3.24,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-53.92,kJ/mol
ZrB2,-,Temperature(in degC): 25,Hydride Formation Enthalpy,-47.37,kJ/mol
